"camera","imgtype","zoom","exposure","gain","frame","lifter","timestamp","id","plantbarcode","treatment","cartag","measurementlabel","other","image","sample","Barcode","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","Height"
5,"none","none","none","none","none","none","2023_09_15_11:56:39","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:39.jpg",1,"000YH","True",2248,15513.5,0.14490604956973,993.603269696236,164,342,2308,17,"True",355.520751953125,114.05583190918,160.026428222656,0.947142409071306,0
5,"none","none","none","none","none","none","2023_09_15_11:56:39","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:39.jpg",2,"000ZY",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:41","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:41.jpg",0,NA,"True",1839,1844,0.997288503253796,173.438598752022,62,41,437,23,"True",62.7087593078613,36.8597755432129,101.926551818848,0.80901129827191,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:41","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:41.jpg",1,NA,"True",2656,2652.5,1.00131950989632,204.99494767189,71,50,492,25,"True",69.9943695068359,47.219409942627,80.1196823120117,0.73816769722301,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:41","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:41.jpg",2,NA,"True",5046,5070.5,0.995168129375801,283.421353816986,89,75,622,31,"True",87.8100738525391,72.0113220214844,79.4781265258789,0.572248293061407,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:42","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:42.jpg",0,NA,"True",1037,1081.5,0.958853444290337,139.539103984833,39,38,273,17,"True",36.3958969116211,35.5344619750977,68.2803726196289,0.216279286351342,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:42","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:42.jpg",1,NA,"True",4298,4325.5,0.993642353485146,258.007140278816,80,72,557,26,"True",78.0645141601562,69.6098327636719,96.9791030883789,0.452634331657341,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:42","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:42.jpg",2,NA,"True",4373,4450,0.982696629213483,265.178713202476,88,73,609,30,"True",83.1944351196289,67.976318359375,83.6322784423828,0.576527552869467,NA
8,"none","none","none","none","none","none","2023_09_15_11:56:43","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:43.jpg",0,"000UV","True",2775,2935,0.945485519591141,240.107645511627,82,55,581,20,"True",82.0379104614258,44.3622589111328,110.86311340332,0.841181327279686,0
8,"none","none","none","none","none","none","2023_09_15_11:56:43","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:43.jpg",1,"000WE","True",1701,2051.5,0.829149402875944,240.551296591759,61,44,438,18,"True",59.9028625488281,41.8725929260254,105.714233398438,0.715113639669113,0
8,"none","none","none","none","none","none","2023_09_15_11:56:43","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:43.jpg",2,"000WJ",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"none","none","none","none","none","none","2023_09_15_11:56:49","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:49.jpg",0,"000UZ","True",2385,2454.5,0.971684660827052,208.65180182457,67,51,461,26,"True",64.9261856079102,46.1088676452637,101.505058288574,0.704026530415816,0
5,"none","none","none","none","none","none","2023_09_15_11:56:49","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:49.jpg",1,"000VZ","True",3521,3619,0.972920696324952,251.722869515419,82,60,588,23,"True",81.5560531616211,54.6999244689941,81.5357208251953,0.741725630554804,0
5,"none","none","none","none","none","none","2023_09_15_11:56:49","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:49.jpg",2,"000WC","True",1173,1247,0.94065757818765,152.953317523003,45,39,345,17,"True",48.5995330810547,31.0595836639404,124.163314819336,0.769130112335488,0
6,"none","none","none","none","none","none","2023_09_15_11:56:51","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:51.jpg",0,NA,"True",1444,1470.5,0.981978918735124,156.367531061173,44,47,306,19,"True",45.7307968139648,40.3497428894043,37.0713768005371,0.470627601414365,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:51","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:51.jpg",1,NA,"True",4736,4884,0.96969696969697,283.320848584175,84,77,609,25,"True",85.6689910888672,70.1073760986328,121.281303405762,0.574717559691159,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:51","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:51.jpg",2,NA,"True",3020,3063.5,0.985800554920842,217.82337474823,66,62,467,23,"True",64.7107467651367,58.9034080505371,105.427719116211,0.414043783836786,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:52","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:52.jpg",0,NA,"True",1590,1612.5,0.986046511627907,165.195958137512,55,39,377,17,"True",55.9536819458008,35.2429580688477,101.917526245117,0.77670909079026,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:52","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:52.jpg",1,NA,"True",680,870.5,0.781160252728317,175.137083053589,35,50,353,14,"True",50.5993766784668,18.9410877227783,30.9533367156982,0.927293778076251,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:52","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:52.jpg",2,NA,"True",3796,3787.5,1.00224422442244,241.279218435287,73,73,514,32,"True",70.4680480957031,67.5621719360352,31.5312633514404,0.284206102584102,NA
8,"none","none","none","none","none","none","2023_09_15_11:56:53","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:53.jpg",0,"000WH","True",2888,3028,0.953764861294584,235.379723668098,64,68,513,23,"True",69.9882888793945,52.3083419799805,133.764404296875,0.664388870646633,0
8,"none","none","none","none","none","none","2023_09_15_11:56:53","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:53.jpg",1,"000V5","True",1523,1734.5,0.878062842317671,215.722869515419,36,64,451,17,"True",58.3774948120117,33.5968589782715,175.395797729492,0.817794417165768,0
8,"none","none","none","none","none","none","2023_09_15_11:56:53","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:53.jpg",2,"000WM",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"none","none","none","none","none","none","2023_09_15_11:56:59","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:59.jpg",0,"000XZ","True",3151,3162,0.99652118912081,219.137083053589,74,61,533,28,"True",72.7259368896484,55.519344329834,114.371017456055,0.645920115747629,0
5,"none","none","none","none","none","none","2023_09_15_11:56:59","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:59.jpg",1,"000UT","True",2284,2546,0.897093479968578,252.551296591759,92,42,640,19,"True",89.1006698608399,32.650577545166,75.7701110839844,0.930439349305328,0
5,"none","none","none","none","none","none","2023_09_15_11:56:59","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:59.jpg",2,"000ZL","True",2432,13167.5,0.184697171065122,936.21449804306,142,292,2134,18,"True",285.692138671875,128.826385498047,26.542459487915,0.892560680103387,0
6,"none","none","none","none","none","none","2023_09_15_11:57:00","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:57:00.jpg",0,NA,"True",1659,1645,1.00851063829787,160.024385213852,40,57,397,24,"True",53.9311790466309,38.4889068603516,178.533126831055,0.700485049450495,NA
6,"none","none","none","none","none","none","2023_09_15_11:57:00","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:57:00.jpg",1,NA,"True",2442,2660.5,0.917872580342041,246.350286126137,82,58,599,24,"True",90.1484909057617,36.5164680480957,59.0359420776367,0.914285582199492,NA
6,"none","none","none","none","none","none","2023_09_15_11:57:00","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:57:00.jpg",2,NA,"True",4779,4803.5,0.994899552409701,268.835567355156,81,83,602,34,"True",82.4254379272461,73.5461654663086,136.427947998047,0.451492142390236,NA
7,"none","none","none","none","none","none","2023_09_15_11:57:01","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:57:01.jpg",0,NA,"True",1499,1504,0.996675531914894,153.195958137512,52,39,371,22,"True",51.6528511047363,35.6717987060547,103.440299987793,0.723230637815384,NA
7,"none","none","none","none","none","none","2023_09_15_11:57:01","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:57:01.jpg",1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"none","none","none","none","none","none","2023_09_15_11:57:01","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:57:01.jpg",2,NA,"True",3721,3792,0.981276371308017,246.793937206268,77,66,537,24,"True",75.0656661987305,62.2174530029297,99.7842483520508,0.559485187600161,NA
8,"none","none","none","none","none","none","2023_09_15_11:57:02","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:57:02.jpg",0,"000WX","True",3697,16774.5,0.220394050493308,1044.90128827095,203,204,1630,21,"True",253.30419921875,243.254119873047,130.752380371094,0.278886496746088,0
8,"none","none","none","none","none","none","2023_09_15_11:57:02","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:57:02.jpg",1,"000VA","True",3007,11965,0.251316339323025,941.426875829697,99,292,2140,23,"True",276.772155761719,72.6790924072266,166.177230834961,0.964906037252335,0
8,"none","none","none","none","none","none","2023_09_15_11:57:02","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:57:02.jpg",2,"000X2",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"none","none","none","none","none","none","2023_09_15_11:57:08","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-1-2023_09_15_11:57:08.jpg",0,"000UR",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
